period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_end_in_years,period_begin_in_months,period_end_in_months
2016-09-01,2016-09-30,30,national,11,1400,t,National,U.S.,US,Townhouse,13,233299.627020417,238198.372228054,143.588824056639,147.679293449506,45264.5342959855,124492.932616316,2.73174482358873,42.3827604892955,0.98535835492914,0.2398434264018269,,2024-11-12 00:00:00,2016,2016,Sep,Sep
2024-04-01,2024-04-30,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,422695.72590577,432428.8411173209,236.54324127199897,240.282824356199,404331.94101918896,1116933.48662098,2.76115707878155,39.042049400240096,0.991052239720501,0.2989383496344389,,2024-11-12 00:00:00,2024,2024,Apr,Apr
2022-02-01,2022-02-28,30,national,11,1400,t,National,U.S.,US,All Residential,-1,403486.463192094,407220.106652803,223.57909746811,227.14265429500696,552044.416784118,799304.983264528,1.33524315664829,15.4866530766309,1.01742341163986,0.538540555790868,,2024-11-12 00:00:00,2022,2022,Feb,Feb
2020-02-01,2020-02-29,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,302664.406204557,319782.449723788,163.069967711514,169.557977638962,536943.90199351,1402459.82394403,2.52135393202916,42.8191350427825,0.985942124188694,0.2476756217646559,,2024-11-12 00:00:00,2020,2020,Feb,Feb
2024-10-01,2024-10-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,434524.0,435246.0,240.0,244.0,415375.0,1191805.0,2.8692215714159635,41.0,0.9895630924942012,0.2763247007543085,,2024-11-12 14:08:32,2024,2024,Oct,Oct
2019-12-01,2019-12-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,304152.0,290946.0,154.0,151.0,396150.0,987752.0,2.493379986047535,51.0,0.9797267975308992,0.2034816182074748,,2024-11-12 14:08:32,2019,2019,Dec,Dec
2024-09-01,2024-09-30,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,355346.0,379698.0,307.0,338.0,41622.0,178210.0,4.281601358943212,46.0,0.9855954949467748,0.2473490131415305,,2024-11-12 14:08:32,2024,2024,Sep,Sep
2024-08-01,2024-08-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,377330.0,376082.0,233.0,235.0,48078.0,117068.0,2.434923213709237,34.0,0.9947468425417986,0.2949684467989226,,2024-11-12 14:08:32,2024,2024,Aug,Aug
2022-06-01,2022-06-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,449947.0,449531.0,229.0,224.0,473050.0,854491.0,1.806342363883804,17.0,1.024667975094212,0.5657799465972273,,2024-11-12 14:08:32,2022,2022,Jun,Jun
2015-03-01,2015-03-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,210875.0,226543.0,132.0,140.0,39240.0,133606.0,3.404774811022584,57.0,0.9786164329891986,0.2039017726853245,,2024-11-12 14:08:32,2015,2015,Mar,Mar
2014-02-01,2014-02-28,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,206950.0,238880.0,107.0,119.0,236762.0,1371567.0,5.792998821656172,81.0,0.9697706537076024,0.1938817176244447,,2024-11-12 14:08:32,2014,2014,Feb,Feb
2019-11-01,2019-11-30,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,259154.0,268211.0,222.0,232.0,49417.0,170480.0,3.449766204641048,44.0,0.978018014991142,0.1725661480810733,,2024-11-12 14:08:32,2019,2019,Nov,Nov
2020-06-01,2020-06-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,321665.0,347869.0,159.0,170.0,470408.0,934995.0,1.987623146985528,39.0,0.9879449191830963,0.2795776422557932,,2024-11-12 14:08:32,2020,2020,Jun,Jun
2020-08-01,2020-08-31,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,340159.0,384078.0,151.0,168.0,10742.0,34680.0,3.2283209004717377,33.0,0.9751870658450958,0.2933912054155389,,2024-11-12 14:08:32,2020,2020,Aug,Aug
2012-06-01,2012-06-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,200065.0,207551.0,102.0,106.0,381484.0,1693312.0,4.438748353179691,68.0,0.9713374067851868,0.2066140891737606,,2024-11-12 14:08:32,2012,2012,Jun,Jun
2021-12-01,2021-12-31,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,402671.0,386986.0,177.0,172.0,15323.0,25702.0,1.6773158487616084,31.0,0.9869161269874732,0.3605443557457907,,2024-11-12 14:08:32,2021,2021,Dec,Dec
2015-11-01,2015-11-30,30,national,11,1400,f,National,U.S.,US,Townhouse,13,221022.0,209633.0,138.0,132.0,33990.0,133574.0,3.929735850688204,49.0,0.9787754894969553,0.2082155070218033,,2024-11-12 14:08:32,2015,2015,Nov,Nov
2017-10-01,2017-10-31,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,271839.0,298701.0,128.0,140.0,11310.0,40401.0,3.572159792672902,39.0,0.9650481620686652,0.2618756885640616,,2024-11-12 14:08:32,2017,2017,Oct,Oct
2021-07-01,2021-07-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,337526.0,331568.0,207.0,204.0,67021.0,91617.0,1.3669899060310442,14.0,1.0186184978632045,0.5409810994624848,,2024-11-12 14:08:32,2021,2021,Jul,Jul
2022-05-01,2022-05-31,30,national,11,1400,t,National,U.S.,US,All Residential,-1,415564.876255236,413536.258133134,232.218014738208,228.680721440154,522619.202809384,890903.3809696969,1.77852833179086,23.8202505231094,1.02420614594389,0.498930771692894,,2024-11-12 00:00:00,2022,2022,May,May
2017-06-01,2017-06-30,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,272909.217995584,286738.3996045,137.866650099269,142.416080281545,402808.511108866,1258915.00720512,3.09036608648688,46.3670334977156,0.981195762176776,0.2475388514525999,,2024-11-12 00:00:00,2017,2017,Jun,Jun
